Team,Played,Exp_Points
LIV,38,88.0770648521648
ARS,38,80.88337309107776
MCI,38,72.946910369154
CHE,38,65.3912311843942
NEW,38,64.869477289238
NOT,38,63.064060400769904
AST,38,62.89061172430331
BOU,38,62.476965138329724
BRI,38,56.33643465727486
FUL,38,51.09518130559526
BRE,38,48.80246557147339
MUN,38,48.541459033922756
WHU,38,47.80483676948333
TOT,38,44.53056938533897
CPA,38,43.870997620820766
EVE,38,41.44340928581532
WOL,38,33.52795987179522
LEI,38,28.697271542698363
IPS,38,27.929754469720546
SOU,38,9.752118645253239
