midName,champion,top_four,top_five,top_six,top_half,relegation
Arsenal,0.78446,0.99529,0.99891,0.99983,1,0
Man City,0.17913,0.9693700000000001,0.9912400000000001,0.9976900000000001,0.99999,0
Sunderland,0.01472,0.59779,0.78656,0.90202,0.99689,0
Aston Villa,0.01248,0.5279499999999999,0.73181,0.8676299999999999,0.99476,0
Liverpool,0.00689,0.5726899999999999,0.7948299999999999,0.9165399999999999,0.9983699999999999,0
Chelsea,0.00195,0.20721,0.36949,0.58221,0.9515399999999999,1e-5
Bournemouth,1.7e-4,0.04183,0.099,0.20654,0.7711899999999999,7e-5
Everton,1.1e-4,0.03572,0.08584,0.18085,0.71149,1.6e-4
Crystal Palace,8e-5,0.0405,0.09898,0.20707,0.78506,7e-5
Man Utd,1e-5,0.00628,0.0216,0.06397,0.5747800000000001,1.7e-4
Newcastle,0,0.0018499999999999999,0.00826,0.03009,0.42793000000000003,4.4e-4
Brighton,0,0.00263,0.00951,0.02955,0.37492000000000003,0.0013
Brentford,0,6.399999999999999e-4,0.00291,0.01154,0.25034999999999996,0.00166
Tottenham,0,1.7999999999999998e-4,5.499999999999999e-4,0.0025199999999999997,0.07946,0.01958
Fulham,0,7e-5,4.7000000000000004e-4,0.00167,0.05907,0.03004
Leeds Utd,0,0,4e-5,2.3e-4,0.01921,0.04365
Burnley,0,0,0,5e-5,0.00496,0.1428
Notts Forest,0,0,0,0,2e-5,0.88362
West Ham,0,0,0,0,1e-5,0.9118999999999999
Wolves,0,0,0,0,0,0.96453
