midName,Exp_Points_Ave,champion,top_four,top_five,top_six,top_half,relegation
Liverpool,90.24343217156657,0.99372,1,1,1,1,0
Arsenal,78.29643605309562,0.00628,0.99962,0.99996,1,1,0
Man City,68.27500235072367,0,0.75917,0.8964300000000001,0.9597000000000001,0.9999200000000001,0
Notts Forest,67.18692107781611,0,0.5947,0.79917,0.91706,0.9999399999999999,0
Newcastle,64.1974596242995,0,0.24031,0.47991,0.70338,0.9966499999999999,0
Chelsea,63.997043746670116,0,0.28932,0.50732,0.72149,0.9970300000000001,0
Brighton,61.32477407171854,0,0.07107,0.18106,0.3625,0.97861,0
Aston Villa,60.098309507849436,0,0.03672,0.10113,0.22499999999999998,0.94879,0
Bournemouth,56.707444478486,0,0.00506,0.02025,0.06327,0.8277599999999999,0
Fulham,56.3269771216995,0,0.0038000000000000004,0.01372,0.04259,0.7669699999999999,0
Brentford,51.79994808668377,0,1.6999999999999999e-4,7e-4,0.00352,0.26702,0
Crystal Palace,50.307521166419185,0,6e-5,3.1e-4,0.00124,0.1301,0
Man Utd,47.90266144990335,0,0,4e-5,2.4e-4,0.04897,0
West Ham,47.03496271945883,0,0,0,0,0.02093,0
Tottenham,45.998060261700836,0,0,0,1e-5,0.016220000000000002,0
Everton,43.18656404100459,0,0,0,0,0.00108,0
Wolves,37.4804141883914,0,0,0,0,1e-5,0.00111
Leicester,22.95186023388589,0,0,0,0,0,0.9993200000000001
Ipswich,22.14324451664426,0,0,0,0,0,0.99957
Southampton,11.75278661479394,0,0,0,0,0,1
